,playerName,nbSongs,score,nbSoloPoints
801,Greta1212,1623,12,0.0
802,Griffyn,193,5,0.0
803,Grimlock,75,0,0.0
804,Grinralt,82,19,0.0
805,GrollenKette951,5598,25,1.0
806,Grontan,85,5,0.0
807,GroovyY,799,5,0.0
808,GuHElric,170,7,0.0
809,Gua,3457,25,0.0
810,Guaa,956,34,0.0
811,Guerizon,85,0,0.0
812,Gunfire24,119,3,0.0
813,GuruMorty,1745,22,0.0
814,Gustaco,850,9,0.0
815,Gvts,84,9,0.0
816,Gyafun,239,64,0.0
817,Gyaos,540,6,0.0
818,GyroInmobile,2486,59,0.0
819,Gze,170,11,0.0
820,H0LT,85,6,0.0
821,H2O2O,205,19,0.0
822,HARLEY_louco3,85,6,0.0
823,HDNC,5060,61,1.0
824,HDaen24,757,14,0.0
